id,date,player_who_starts,winner,shots_played_player,shots_played_ia,shots
1,2025-04-12 13:39:13,1,-1,4,4,"[(5, 6), (5, 5), (5, 0), (4, 5), (5, 1), (3, 5), (5, 2), (2, 5)]"
2,2025-04-13 11:37:17,-1,1,4,4,"[(5, 6), (5, 5), (5, 0), (4, 5), (4, 6), (3, 5), (3, 6), (2, 5)]"
3,2025-04-13 11:38:20,1,-1,4,4,"[(5, 6), (5, 5), (5, 0), (4, 5), (4, 6), (3, 5), (3, 6), (2, 5)]"
4,2025-04-13 11:42:09,1,-1,4,4,"[(5, 6), (5, 5), (5, 0), (4, 5), (4, 6), (3, 5), (3, 6), (2, 5)]"
5,2025-04-13 11:43:58,1,-1,7,7,"[(5, 3), (4, 3), (3, 3), (5, 2), (5, 4), (4, 2), (4, 4), (3, 4), (5, 6), (5, 5), (4, 5), (3, 2), (3, 5), (2, 2)]"
6,2025-04-13 11:45:06,-1,1,5,5,"[(5, 0), (5, 1), (4, 0), (4, 1), (3, 0), (2, 0), (1, 0), (3, 1), (0, 0), (2, 1)]"
7,2025-04-13 11:50:34,-1,1,4,4,"[(5, 6), (5, 5), (5, 0), (4, 5), (4, 0), (3, 5), (3, 0), (2, 5)]"
8,2025-04-13 11:51:21,1,-1,7,7,"[(5, 3), (4, 3), (3, 3), (5, 2), (5, 4), (4, 2), (4, 4), (3, 4), (5, 5), (5, 6), (4, 5), (3, 2), (3, 5), (2, 2)]"
9,2025-04-13 11:55:49,1,-1,10,10,"[(5, 2), (5, 3), (4, 2), (4, 3), (3, 3), (3, 2), (5, 1), (5, 4), (4, 4), (5, 5), (5, 6), (2, 2), (3, 4), (2, 4), (2, 3), (4, 5), (3, 5), (1, 2), (2, 5), (0, 2)]"
10,2025-04-13 11:58:13,1,-1,4,4,"[(5, 0), (5, 1), (4, 1), (5, 2), (3, 1), (5, 3), (2, 1), (5, 4)]"
11,2025-04-13 12:00:20,1,1,7,6,"[(5, 3), (4, 3), (3, 3), (5, 2), (4, 2), (5, 1), (4, 1), (5, 0), (3, 2), (4, 0), (3, 1), (3, 0), (2, 0)]"
12,2025-04-13 12:05:14,1,-1,4,4,"[(5, 0), (5, 1), (4, 0), (5, 2), (4, 1), (5, 3), (3, 0), (5, 4)]"
13,2025-04-13 12:11:29,1,-1,9,9,"[(5, 3), (4, 3), (3, 3), (5, 2), (4, 2), (3, 2), (5, 4), (5, 1), (4, 4), (3, 4), (2, 2), (5, 5), (2, 3), (2, 4), (4, 5), (1, 4), (3, 5), (0, 4)]"
